Lambda,Policy,Total Latency (s),Total Latency std (s),Avg Inference Time (s),Inference Time std (s),Avg Device Queue Length,Avg Cloud Queue Length
0.1,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.30701951079957346,0.2406732903370455,0.29976671565797,0.23331385741545935,0.00072398508106961,0.0
0.1,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.1364842194102579,0.07680333025489884,0.13528766613888726,0.07572485030443035,0.0,0.0001194417752295376
0.1,Round Robin 2x Device,0.299850724417667,0.23331760495532852,0.29972783902071104,0.2332246106810032,0.0,0.0
0.1,Round Robin 2x Cloud,0.13562075968799372,0.07591911329029677,0.13561245737973918,0.07591146812438668,0.0,0.0
0.1,Round Robin (Device/Cloud),0.21766859377789186,0.19199349791188297,0.21760557880250395,0.19191303081408248,5.794553555770193e-06,4.956975780041027e-07
0.1,Stateless Threshold,0.11605402410359998,0.08247353637292033,0.11536091331188059,0.08171453759102018,2.6951959201581432e-06,6.649218225284376e-05
0.1,HERO,0.11555580844898011,0.0824079790832992,0.1150853892873574,0.08190128085281112,9.889978858877274e-07,4.596896165517558e-05
0.2,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.3149918510162119,0.24624766393487132,0.2996302087295276,0.23297755070412549,0.003077684892421181,0.0
0.2,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.13772302913253137,0.07791574525480353,0.13527501747299975,0.07572010954136876,0.0,0.000490455999461964
0.2,Round Robin 2x Device,0.300064738668971,0.233441781050522,0.2995613966570854,0.23309042126504392,0.0,0.0
0.2,Round Robin 2x Cloud,0.13563236173818738,0.07588328299629875,0.13560451112128963,0.07585909452585973,0.0,0.0
0.2,Round Robin (Device/Cloud),0.2172826855527351,0.19166864920007579,0.21701482252119225,0.19134191795866,5.092325218551633e-05,2.7427573778775296e-06
0.2,Stateless Threshold,0.11675790450815964,0.08324754807289149,0.1153860737780536,0.0817525390309702,1.2733819217046833e-05,0.0002621107085176546
0.2,HERO,0.1161539047515624,0.08286369448352862,0.11518405664863013,0.08182947931388151,4.934512016312985e-06,0.00018937331625877582
0.30000000000000004,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.324144196981244,0.25352974871508627,0.30000442447433723,0.23306875941151475,0.007254556848995697,0.0
0.30000000000000004,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.13905659396154374,0.07910317906318626,0.13529517620844,0.07572250574919734,0.0,0.0011303928275676692
0.30000000000000004,Round Robin 2x Device,0.3011449469948588,0.23396046860109965,0.2999859053050793,0.233148825973883,0.0,0.0
0.30000000000000004,Round Robin 2x Cloud,0.13568338186062823,0.07595171608452381,0.13561691745933546,0.07590133483219558,0.0,0.0
0.30000000000000004,Round Robin (Device/Cloud),0.21839474770812745,0.1927888116387562,0.21778139752359785,0.19207043724969614,0.00017517720169246814,9.148647933210482e-06
0.30000000000000004,Stateless Threshold,0.11742416098696716,0.0841377328694664,0.11536389635455357,0.08184999910365272,2.8490294673969043e-05,0.0005906667622450402
0.30000000000000004,HERO,0.1166762493722347,0.0835274919728108,0.11525198309843689,0.08204700750860602,1.3319067693961841e-05,0.0004147058237647174
0.4,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.33288363215378464,0.26158721399010015,0.2997483180078439,0.2331118259732788,0.013277229390240479,0.0
0.4,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.14038064979698467,0.08032374398770184,0.13528492782594218,0.07571930711003501,0.0,0.002041842678888591
0.4,Round Robin 2x Device,0.3017897203364588,0.2347706400549835,0.299787323523223,0.23335832085886674,0.0,0.0
0.4,Round Robin 2x Cloud,0.1357268112346366,0.07597869063198631,0.13560431763021963,0.07588664929471174,0.0,0.0
0.4,Round Robin (Device/Cloud),0.21863900460720273,0.1933245026738272,0.21759093409457578,0.19203709683447565,0.0003975412544063951,2.2417759185416043e-05
0.4,Stateless Threshold,0.1181349129766468,0.08486956688779664,0.11536170905913892,0.08181668164416567,4.978114999772524e-05,0.0010614345111822354
0.4,HERO,0.11729239996611754,0.08426818532368525,0.11536628869289506,0.08226297637656593,2.3121233138439673e-05,0.0007486666269120616
0.5,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.34273505050988623,0.26941362843991185,0.30007288588132774,0.2331100137188988,0.021368268782920946,0.0
0.5,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.1417614691055033,0.08157533940131326,0.13529965022703777,0.07572532765384496,0.0,0.0032365427421197127
0.5,Round Robin 2x Device,0.30314260461137543,0.2351896789446804,0.30010098568598764,0.23307193628459097,0.0,0.0
0.5,Round Robin 2x Cloud,0.1358214826822257,0.07605499290786674,0.13562998142443414,0.07591074240123259,0.0,0.0
0.5,Round Robin (Device/Cloud),0.21946283120736446,0.19410823224391102,0.21783478212487867,0.1921472203088998,0.0007691947976816849,4.624892240384151e-05
0.5,Stateless Threshold,0.1189013716855396,0.0857354141798009,0.11541841609312829,0.08187500767806752,8.110149455532116e-05,0.0016634126607387575
0.5,HERO,0.1179312148303784,0.08478635102357074,0.11552669818630672,0.08227135854342375,3.614748714528158e-05,0.00116820709925875
0.6,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.35285369987143117,0.2788622403716657,0.2996749736579357,0.23310351172130836,0.03196286280683311,0.0
0.6,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.1431509841255371,0.08284869809958356,0.1352783555634718,0.07572011461731727,0.0,0.00473181299097059
0.6,Round Robin 2x Device,0.30408368414647274,0.23656980011083906,0.2996968754380417,0.2333475587508705,0.0,0.0
0.6,Round Robin 2x Cloud,0.13588541541301435,0.07609668772582495,0.1356063594862734,0.07588802757790149,0.0,0.0
0.6,Round Robin (Device/Cloud),0.22007371090963218,0.19499641286830047,0.2177404953334531,0.19213995586470167,0.0013199876407092226,8.238252800253124e-05
0.6,Stateless Threshold,0.11953637760113359,0.08654902097795757,0.1152935539850246,0.08187389773290436,0.00012193786392033099,0.00242819484522716
0.6,HERO,0.11841926695595839,0.0853847158465912,0.11550655255708442,0.08234536857466594,5.534131579678429e-05,0.001695334495139153
0.7000000000000001,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.3641546048161725,0.28934437596670226,0.29964187263059266,0.23355670172161794,0.045237618973232745,0.0
0.7000000000000001,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.14460187270393257,0.08417076582225069,0.1352772803236008,0.0757111364229666,0.0,0.006538595078889803
0.7000000000000001,Round Robin 2x Device,0.30543506945595783,0.23760212720497986,0.29962213284445965,0.23339483409922518,0.0,0.0
0.7000000000000001,Round Robin 2x Cloud,0.13598014421275398,0.07616500149531429,0.13560205953845358,0.0758818840638256,0.0,0.0
0.7000000000000001,Round Robin (Device/Cloud),0.22076481502789846,0.19612251044335438,0.21759988895936264,0.19220461584773785,0.0020874217786030123,0.00013188806725026068
0.7000000000000001,Stateless Threshold,0.12029871083513903,0.08740708981562113,0.1153148031687061,0.08182782349355197,0.00016099618797306764,0.0033338218416268622
0.7000000000000001,HERO,0.11904009726922976,0.08598303123652058,0.11564295692312535,0.0824751484758671,7.758529768768623e-05,0.002304559225141463
0.8,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.37686730891512016,0.30072880051904866,0.2999237374156164,0.23344607710243398,0.06166218422399617,0.0
0.8,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.1461202454721055,0.08555825700083104,0.13529000745519662,0.07571693445701663,0.0,0.008679296943712
0.8,Round Robin 2x Device,0.30747981618159,0.23885388738868354,0.29988572336524033,0.23338520235150353,0.0,0.0
0.8,Round Robin 2x Cloud,0.13610937980096183,0.07628006011923813,0.13561490484878427,0.07590844004707652,0.0,0.0
0.8,Round Robin (Device/Cloud),0.22201137011030148,0.1975996230302813,0.21792592104648761,0.1925729154608781,0.0030791621118409726,0.0001948958490930165
0.8,Stateless Threshold,0.12113988267657115,0.08818954530738804,0.11535187823299796,0.08176752771952688,0.0002128436749351876,0.004425633449709604
0.8,HERO,0.11971748511507074,0.08657796438713268,0.11578157992141665,0.08255578918088356,0.00010265873976167723,0.0030515555293387305
0.9,Always Device (Llama-3-2-1B-Instruct-ONNX (Desktop PC)),0.3897991506342914,0.3119279488318485,0.3001500083975368,0.23343674697606098,0.08082488889564522,0.0
0.9,Always Cloud (Llama-3-2-1B-Instruct (Open Router)),0.14767355162460893,0.08698930729886095,0.1353003018837534,0.07571247542396642,0.0,0.011155340686176365
0.9,Round Robin 2x Device,0.30950089975845185,0.24024041209068742,0.30012399519489014,0.23339469036627547,0.0,0.0
0.9,Round Robin 2x Cloud,0.1362418131348239,0.07637331815152035,0.135623987122527,0.07590212002906209,0.0,0.0
0.9,Round Robin (Device/Cloud),0.22262433541430068,0.1980257767413606,0.21759631846712094,0.19187686312127902,0.004257999206331625,0.0002751059839279068
0.9,Stateless Threshold,0.12189339199262182,0.08907729100965728,0.1153403634545893,0.08182422265666416,0.0002659303906559751,0.005642078075147872
0.9,HERO,0.1203698953827372,0.08725448723085674,0.11592885844016655,0.08269252601596384,0.00013726307965599514,0.0038666392118489345
